Season,Sex,First Name,Last Name,Age,Occupation,Result,First Group in Villa,Have they appeared on a previous season of LI USA?,Day Entered Villa,Day Left Villa,Days in Villa,Location,US Region,Birthday,Zodiac,Casa Amor Contestant,Casa Decision,Snogs Received/SMP,Marry Received/SMP,Pies Received/SMP
5,Female,Jasmine,Sklavantis,24,Trauma stepdown ICU nurse,Dumped,Yes,No,1,5,4,"Mount Morris, Illinois",Midwest,"August 12, 1998",Leo,No,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Kordell,Beckham,21,Aircraft fueler / Model,Winner,Yes,No,1,32,31,"Dallas, Texas",Southwest,"May 27, 2002",Gemini,No,Switch,Not played this season,Not Played this season,Not played this season
6,Female,Serena,Page,24,Media planner,Winner,Yes,No,1,32,31,"Houston, Texas",Southwest,"September 19, 1999",Virgo,No,Chose to be single,Not played this season,Not Played this season,Not played this season
6,Female,Leah,Kateb,24,Student,Runner-Up,Yes,No,1,32,31,"Bell Canyon, California",West,"August 11, 1999",Leo,No,Stick,Not played this season,Not Played this season,Not played this season
6,Male,Miguel,Harichi,27,Model,Runner-Up,No,No,9,32,23,"London, United Kingdom",International,"March 8, 1997",Pisces,No,Switch,Not played this season,Not Played this season,Not played this season
6,Female,JaNa,Craig,27,Day trader,3rd Place,Yes,No,1,32,31,"Las Vegas, Nevada",Southwest,"December 13, 1996",Sagittarius,No,Stick,Not played this season,Not Played this season,Not played this season
6,Male,Kenny,Rodriguez,24,Associate account manager,3rd Place,No,No,13,32,19,"Dallas, Texas",Southwest,"February 23, 2000",Pisces,No,Switch,Not played this season,Not Played this season,Not played this season
6,Male,Kendall,Washington,27,Territory manager medical device sales,4th Place,Yes,No,1,32,31,"Dallas, Texas",Southwest,"June 27, 1997",Cancer,No,Stick,Not played this season,Not Played this season,Not played this season
6,Female,Nicole,Jacky,26,Medical sales,4th Place,No,No,6,32,26,"Sacramento, California",West,"October 14, 1997",Libra,No,Stick,Not played this season,Not Played this season,Not played this season
6,Female,Kassy,Castillo,23,Real estate student,Dumped,No,No,27,30,3,"Fort Worth, Texas",Southwest,"January 6, 2001",Capricorn,No,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Rob,Rausch,25,Snake wrangler,Dumped,Yes,Yes,1,30,29,"Florence, Alabama",Southeast,"September 4, 1998",Virgo,No,Entered Casa Single,Not played this season,Not Played this season,Not played this season
6,Male,Aaron,Evans,26,Deck hand,Dumped,Yes,No,1,30,29,"North Devon, United Kingdom",International,"June 5, 1997",Gemini,No,Stick,Not played this season,Not Played this season,Not played this season
6,Female,Kaylor,Martin,22,Graduate student,Dumped,Yes,No,1,30,29,"Connellsville, Pennsylvania",Northeast,"January 8, 2002",Capricorn,No,Chose to be single,Not played this season,Not Played this season,Not played this season
6,Female,Daniela,Oritz-Rivera,22,Student,Dumped,No,No,17,27,10,"Orlando, Florida",Southeast,"June 16, 2002",Gemini,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Harrison,Luna,27,Diamond dealer,Dumped,No,Yes,24,27,3,"Adelaide, South Australia",International,"January 15, 1997",Capricorn,No,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Sierra,Mills,22,Administrative assistant,Dumped,No,No,17,27,10,"Los Angeles, California",West,"September 18, 2001",Virgo,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Caine,Bacon,28,Security guard / Personal trainer,Dumped,No,No,17,25,8,"Norwich, United Kingdom",International,"November 7, 1995",Scorpio,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Catherine,Marshall,24,Personal assistant,Dumped,No,No,17,24,7,"Scottsdale, Arizona",Southwest,"April 9, 2000",Aries,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Daia,McGhee,27,Travle blogger photographer,Dumped,No,No,17,24,7,"Los Angeles, California",West,"January 30, 1997",Aquarius,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Liv,Walker,22,Student,Dumped,No,No,2,24,22,"Sydney, Australia",International,"February 23, 2002",Pisces,No,Entered Casa Single,Not played this season,Not Played this season,Not played this season
6,Female,Destiny,Herzog,22,Model,Dumped,No,No,17,20,3,"Scottsdale, Arizona",Southwest,"July 11, 2001",Cancer,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Male,George,Vining,23,Lab research assistant,Dumped,No,No,17,20,3,"Athens, Georgia",Southeast,,,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Ignacio,Ferrari,28,Model,Dumped,No,No,17,20,3,"Medellín, Colombia",International,"January 31, 1996",Aquarius,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Jacobi,Graham,23,Personal trainer,Dumped,No,No,17,20,3,"Houston, Texas",Southwest,"August 17, 2000",Leo,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Jalen,Oliver,24,Student,Dumped,No,No,17,20,3,"Hagerstown, Indiana",Midwest,,,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Josiah,Roebuck,25,Software engineer,Dumped,No,No,17,20,3,"Charlotte, North Carolina",Southeast,"December 15, 1998",Sagittarius,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Sydney,Leighton,24,Influencer,Dumped,No,No,17,20,3,"New York, New York",Northeast,"June 5, 2000",Gemini,Yes,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Cassidy,Laudano,27,Influencer,Dumped,No,No,13,16,3,"Miami, Florida",Southeast,"January 8, 1997",Capricorn,No,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Nigel,Okafor,28,Bodybuilder,Dumped,No,No,13,16,3,"Houston, Texas",Southwest,"December 18, 1995",Sagittarius,No,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Connor,Newsum,28,PR specialist,Dumped,No,No,2,15,13,"Santa Monica, California",West,"March 29, 1996",Aries,No,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Andrea,Carmona,25,Singer-songwriter,Dumped,No,No,6,11,5,"Miami, Florida",Southeast,"August 19, 1998",Leo,No,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Hakeem,White,29,Online fitness business coach,Dumped,No,No,2,11,9,"Miami, Florida",Southeast,"July 16, 1994",Cancer,No,N/A,Not played this season,Not Played this season,Not played this season
6,Female,Hannah,Smith,26,Bottle server,Dumped,Yes,No,1,10,9,"Charlotte, North Carolina",Southeast,"October 29, 1997",Scorpio,No,N/A,Not played this season,Not Played this season,Not played this season
6,Male,Coye,Simmons,28,School district unit director,Dumped,Yes,No,1,4,3,"Winston-Salem, North Carolina",Southeast,"June 30, 1995",Cancer,No,N/A,Not played this season,Not Played this season,Not played this season
